tweets_date,score,day
2019-11-01,0.045463333333333335,4
2019-11-02,0.08184999999999999,5
2019-11-03,0.0892,6
2019-11-04,0.16514054054054056,0
2019-11-05,0.17696,1
2019-11-06,0.12393703703703707,2
2019-11-07,0.10846631578947372,3
2019-11-08,0.1325121212121212,4
2019-11-09,0.2368461538461539,5
2019-11-10,0.16041290322580645,6
2019-11-11,0.22356274509803922,0
2019-11-12,0.21664666666666665,1
2019-11-13,0.18036212121212125,2
2019-11-14,0.15813958333333336,3
2019-11-15,0.0336375,4
2019-11-16,0.37566896551724144,5
2019-11-17,0.15628695652173913,6
2019-11-18,0.169982,0
2019-11-19,0.06347826086956522,1
2019-11-20,0.07130816326530612,2
2019-11-21,0.18076451612903224,3
2019-11-22,0.11007566371681415,4
2019-11-23,0.17903492063492063,5
2019-11-24,0.09315849056603774,6
2019-11-25,0.16010465116279063,0
2019-11-26,0.16083064516129034,1
2019-11-27,0.10736862745098039,2
2019-11-28,0.21215833333333337,3
2019-11-29,0.23095357142857145,4
2019-11-30,0.15218518518518523,5
2019-12-01,0.18941538461538462,6
2019-12-02,0.1602604651162791,0
2019-12-03,0.0959304347826087,1
2019-12-04,0.27277999999999997,2
2019-12-05,0.07458085106382979,3
2019-12-06,0.24984528301886794,4
2019-12-07,0.17661,5
2019-12-08,0.012539999999999985,6
2019-12-09,0.09222553191489363,0
2019-12-10,0.08059183673469389,1
2019-12-11,0.11439347826086957,2
2019-12-12,0.13114259259259262,3
2019-12-13,0.22813437500000003,4
2019-12-14,0.2882590909090909,5
2019-12-15,0.04646666666666667,6
2019-12-16,0.19260729166666665,0
2019-12-17,0.1524555555555556,1
2019-12-18,0.11449807692307694,2
2019-12-19,0.12109917355371905,3
2019-12-20,0.2040371794871795,4
2019-12-21,0.19836888888888887,5
2019-12-22,0.2306487179487179,6
2019-12-23,0.21163266331658284,0
2019-12-24,0.25402446808510637,1
2019-12-25,0.2610695652173913,2
2019-12-26,0.20132698412698416,3
2019-12-27,0.19885200000000006,4
2019-12-28,0.23142083333333333,5
2019-12-29,0.17303142857142856,6
2019-12-30,0.11764722222222221,0
2019-12-31,0.123978,1
2020-01-01,0.40039230769230766,2
2020-01-02,0.1957703125,3
2020-01-03,0.09957155963302754,4
2020-01-04,0.08601666666666663,5
2020-01-05,0.15435416666666665,6
2020-01-06,0.11158000000000005,0
2020-01-07,0.14270434782608696,1
2020-01-08,0.13063607594936708,2
2020-01-09,0.1690302752293578,3
2020-01-10,0.030153333333333334,4
2020-01-11,0.1827571428571429,5
2020-01-12,0.0013384615384615362,6
2020-01-13,0.16264433497536945,0
2020-01-14,0.11431280487804879,1
2020-01-15,0.1291546666666667,2
2020-01-16,0.10311530612244897,3
2020-01-17,0.14266666666666666,4
2020-01-18,0.10550000000000001,5
2020-01-19,0.054478125,6
2020-01-20,0.1541871794871795,0
2020-01-21,0.12089479166666668,1
2020-01-22,0.10687565217391305,2
2020-01-23,0.1566203539823009,3
2020-01-24,0.0472253164556962,4
2020-01-25,0.1951621621621622,5
2020-01-26,0.10153000000000002,6
2020-01-27,0.11734107142857143,0
2020-01-28,0.11642291666666667,1
2020-01-29,0.21202885375494074,2
2020-01-30,0.14919175257731956,3
2020-01-31,0.2010286821705426,4
2020-02-01,0.14012058823529414,5
2020-02-02,0.2093847457627119,6
2020-02-03,0.11894153225806445,0
2020-02-04,0.1170400648824005,1
2020-02-05,0.11332419080068143,2
2020-02-06,0.09165429687500004,3
2020-02-07,0.10015909090909093,4
2020-02-08,0.0832779411764706,5
2020-02-09,0.14928813559322032,6
2020-02-10,0.12906712328767128,0
2020-02-11,0.06971234567901236,1
2020-02-12,0.1523739130434783,2
2020-02-13,0.1456652777777778,3
2020-02-14,0.18159908256880727,4
2020-02-15,0.1435891304347826,5
2020-02-16,0.16109999999999997,6
2020-02-17,0.09898472222222224,0
2020-02-18,0.14310393700787402,1
2020-02-19,0.1775985436893203,2
2020-02-20,0.11637295081967211,3
2020-02-21,0.11081111111111114,4
2020-02-22,0.19315319148936172,5
2020-02-23,0.17034222222222223,6
2020-02-24,0.07621470588235295,0
2020-02-25,0.11013033707865169,1
2020-02-26,0.12841384615384618,2
2020-02-27,0.11887159090909093,3
2020-02-28,0.069,4
2020-02-29,0.22144999999999998,5
2020-03-01,0.20507333333333336,6
2020-03-02,0.07185423728813559,0
2020-03-03,0.1250875,1
2020-03-04,0.16728627450980393,2
2020-03-05,0.09300434782608699,3
2020-03-06,0.14532272727272727,4
2020-03-07,0.07595428571428572,5
2020-03-08,0.06337500000000003,6
2020-03-09,0.1607710843373493,0
2020-03-10,0.19491111111111115,1
2020-03-11,0.18305762711864407,2
2020-03-12,0.13533552631578943,3
2020-03-13,0.020534482758620697,4
2020-03-14,-0.04907999999999999,5
2020-03-15,0.07945416666666667,6
2020-03-16,0.06827450980392155,0
2020-03-17,0.07823246753246753,1
2020-03-18,0.07610303030303031,2
2020-03-19,0.11563870967741938,3
2020-03-20,0.10220212765957445,4
2020-03-21,0.12864375,5
2020-03-22,0.07702857142857142,6
2020-03-23,0.09208235294117648,0
2020-03-24,0.18926417910447757,1
2020-03-25,0.1347138461538462,2
2020-03-26,-0.022362745098039215,3
2020-03-27,0.1113025641025641,4
2020-03-28,0.048695238095238104,5
2020-03-29,0.04062222222222222,6
2020-03-30,0.19561111111111112,0
2020-03-31,0.09332826086956522,1
2020-04-01,0.011897297297297292,2
2020-04-02,0.002651086956521745,3
2020-04-03,0.1575092105263158,4
2020-04-04,0.12152222222222221,5
2020-04-05,0.21672272727272726,6
2020-04-06,0.12361463414634144,0
2020-04-07,0.16794444444444442,1
2020-04-08,0.05273125000000001,2
2020-04-09,0.10020892857142857,3
2020-04-10,0.2296225806451613,4
2020-04-11,0.22910555555555556,5
2020-04-12,0.19338846153846154,6
2020-04-13,0.14622976190476195,0
2020-04-14,0.16351209677419357,1
2020-04-15,0.08083189655172414,2
2020-04-16,0.07678493150684934,3
2020-04-17,0.09007260273972603,4
2020-04-18,0.25543333333333335,5
2020-04-19,-0.05608620689655171,6
2020-04-20,0.15200370370370372,0
2020-04-21,0.13949285714285714,1
2020-04-22,0.1275916666666667,2
2020-04-23,0.21404545454545454,3
2020-04-24,0.18051632653061228,4
2020-04-25,0.163665625,5
2020-04-26,0.025179166666666666,6
2020-04-27,0.12596263736263733,0
2020-04-28,0.11628985507246378,1
2020-04-29,0.12475229885057477,2
2020-04-30,0.13952328767123287,3
2020-05-01,0.04585777027027028,4
2020-05-02,0.08649999999999998,5
2020-05-03,0.18722037037037034,6
2020-05-04,0.08466213592233009,0
2020-05-05,0.21612111111111112,1
2020-05-06,0.17800943396226415,2
2020-05-07,0.0488,3
2020-05-08,0.11534810126582275,4
2020-05-09,0.07611875,5
2020-05-10,0.13826721311475412,6
2020-05-11,0.14566423357664232,0
2020-05-12,0.10279090909090904,1
2020-05-13,0.08712105263157893,2
2020-05-14,0.16364705882352942,3
2020-05-15,0.11646730769230768,4
2020-05-16,0.07674642857142855,5
2020-05-17,0.2788535714285714,6
2020-05-18,0.22716599999999995,0
2020-05-19,0.12505303030303025,1
2020-05-20,0.14657413793103446,2
2020-05-21,0.1411044117647059,3
2020-05-22,0.08286874999999998,4
2020-05-23,0.19868,5
2020-05-24,0.24584666666666669,6
2020-05-25,0.1775592592592592,0
2020-05-26,0.10533529411764707,1
2020-05-27,0.10097500000000001,2
2020-05-28,0.0678891304347826,3
2020-05-29,0.11029833333333333,4
2020-05-30,0.23338301886792454,5
2020-05-31,0.13263250000000001,6
2020-06-01,0.13664313725490204,0
2020-06-02,0.10330144927536233,1
2020-06-03,0.24797118644067792,2
2020-06-04,0.2137033898305084,3
2020-06-05,0.15918378378378376,4
2020-06-06,0.18430344827586206,5
2020-06-07,0.07493181818181817,6
2020-06-08,0.20279082568807338,0
2020-06-09,0.12611544715447154,1
2020-06-10,0.18116612377850155,2
2020-06-11,0.13578813559322034,3
2020-06-12,0.17027924528301888,4
2020-06-13,0.09932,5
2020-06-14,0.06772750000000001,6
2020-06-15,0.09233506493506494,0
2020-06-16,0.09686144578313255,1
2020-06-17,0.08485263157894737,2
2020-06-18,0.1665626262626263,3
2020-06-19,0.19428749999999997,4
2020-06-20,0.23093548387096777,5
2020-06-21,0.1777918918918919,6
2020-06-22,0.19801884057971017,0
2020-06-23,0.13536119402985075,1
2020-06-24,0.0979,2
2020-06-25,0.13453600000000002,3
2020-06-26,0.08166268656716417,4
2020-06-27,0.3105071428571428,5
2020-06-28,0.2179909090909091,6
2020-06-29,0.1354635416666667,0
2020-06-30,0.16806388888888896,1
2020-07-01,0.18237711442786075,2
2020-07-02,0.12146655172413792,3
2020-07-03,0.2128484536082475,4
2020-07-04,0.09617317073170732,5
2020-07-05,0.20303043478260868,6
2020-07-06,0.15993346007604553,0
2020-07-07,0.19266355555555556,1
2020-07-08,0.1787616352201258,2
2020-07-09,0.11963400000000002,3
2020-07-10,0.19290027777777768,4
