,score,day,Movement
2019-11-06,-0.14155140662798096,2,1.1541219637642985
2019-11-07,0.22245709373694525,3,0.2736911532117192
2019-11-10,0.14969040862656072,6,0.7918744077686002
2019-11-11,-0.3716689462460153,0,-0.09153947482981595
2019-11-12,-0.2156639194924524,1,0.9581714432047805
2019-11-13,-0.17791193574647726,2,-0.6919554237000858
2019-11-14,0.016055686545137185,3,1.1879413626605606
2019-11-17,0.023672852463121,6,0.5042238604754612
2019-11-18,0.08322332400293267,0,-0.30326690590974925
2019-11-19,0.5670465635606006,1,-1.1641352789916404
2019-11-20,0.048735180288810784,2,-0.4483532577558291
2019-11-21,0.06368354104296868,3,-0.08778285841776201
2019-11-24,0.2885846643960304,6,1.7533733342993463
2019-11-25,0.26973139752846426,0,-0.7808745675403683
2019-11-26,0.370031613347266,1,1.3432289457681934
2019-11-28,0.23320864492705495,3,-0.220272673823263
2019-12-01,0.27814713063320023,6,-1.156228066276932
2019-12-02,-0.04495913267607876,0,-1.7830008719494583
2019-12-03,0.14406981297980506,1,0.8826293843448463
2019-12-04,0.0969377942260932,2,1.467104081538917
2019-12-05,-0.07488885252649577,3,1.9316216845698397
2019-12-08,-0.21093390645300994,6,-1.4000250156965377
2019-12-09,-0.19040065632718609,0,0.5844585777127875
2019-12-10,-0.12511307233190036,1,0.8529431822556166
2019-12-11,-0.28584057739663266,2,0.2548286707139802
2019-12-12,-0.005027401143861592,3,1.3593112298473153
2019-12-15,0.3754894994168417,6,1.711784495953994
2019-12-16,0.1975304197781603,0,0.19654858367168515
2019-12-17,0.16583659859771294,1,-0.2389453638575456
2019-12-18,-0.4200872477054855,2,0.10009094556535647
2019-12-19,-0.2582840390549587,3,-0.20712444577051237
2019-12-22,0.009022168905950095,6,1.6318319442280016
2019-12-23,0.16465370610701174,0,0.09506118222550874
2019-12-25,0.9287,2,1.9840376457167963
2019-12-26,-0.14751738334156125,3,-0.037944782332632876
2019-12-29,0.03802649103424832,6,0.5935144480196941
2019-12-30,-0.10934102179723314,0,0.7306469036691077
2020-01-01,0.2754737827558824,2,2.281645053113812
2020-01-02,-0.2945400682385788,3,-0.9722093116873998
2020-01-05,0.22236368746036927,6,0.7968255889831966
2020-01-06,0.27812917424270284,0,-0.47030037829575155
2020-01-07,0.20237735293442516,1,1.608615185014739
2020-01-08,0.14534480774427366,2,2.124090174361326
2020-01-09,0.26243087053728825,3,0.22606201146724292
2020-01-12,0.1875676785115656,6,2.136442850797149
2020-01-13,0.039979316922283806,0,-1.350327188145184
2020-01-14,-0.15437408549562254,1,-0.42855096452272257
2020-01-15,0.05002007398841167,2,1.2526450904627007
2020-01-16,0.11981844893733636,3,1.1071046104242699
2020-01-20,0.4630942735321898,0,-0.6776906413320849
2020-01-21,0.1853126904294134,1,0.35695942442930395
2020-01-22,0.2465068965702008,2,0.48158094094887804
2020-01-23,0.2945389898775093,3,-0.28820211217928104
2020-01-26,0.2863218183684241,6,-2.940529415422921
2020-01-27,-0.01968589441085388,0,2.828935143366107
2020-01-28,-0.032034722360537525,1,2.0932340780152936
2020-01-29,-0.03863428570489502,2,-0.144904781027011
2020-01-30,0.2492496330446177,3,-4.433874367399704
2020-02-02,-0.31708686961000976,6,-0.2746275821143396
2020-02-03,0.15656238731280125,0,3.3013559279526428
2020-02-04,-0.06151839642220577,1,0.815448879685432
2020-02-05,0.098817992584429,2,1.169685266345688
2020-02-06,-0.23381695664715155,3,-1.359270482687891
2020-02-09,0.3133162835316794,6,0.47496044339954135
2020-02-10,-0.13679718904672475,0,-0.6033362177223167
2020-02-11,-0.14813358922536055,1,2.3747863822457083
2020-02-12,0.009778515708304786,2,-0.7121088854736501
2020-02-13,0.02581549581319646,3,0.024627573806879077
2020-02-17,-0.05654079532708304,0,-1.8310566494430192
2020-02-18,-0.07904010969611476,1,1.4482787061132818
2020-02-19,0.3111501471570019,2,-1.0259063519495681
2020-02-20,0.01865938932255421,3,-2.2634911975509597
2020-02-23,0.6294321984744519,6,-4.750048337364088
2020-02-24,-0.05700498064382739,0,-3.387213083270535
2020-02-25,-0.26136869283995184,1,1.5863678426795147
2020-02-26,0.05439723041407433,2,-6.536815173818534
2020-02-27,0.2054622252228996,3,-0.05850366186648248
2020-03-01,0.13421900985292334,6,9.310063021478875
2020-03-02,-0.28876590410017633,0,-3.1759145221068374
2020-03-03,0.0874232117202196,1,4.638451545660494
2020-03-04,0.14090188633389422,2,-3.243702493917766
2020-03-05,0.0018697611968926863,3,-1.3280020933633896
2020-03-08,0.00563771433889393,6,-7.909216413961384
2020-03-09,0.25331016319926714,0,7.2021610356699295
2020-03-10,0.046160718632804784,1,-3.4730556899453924
2020-03-11,0.20762647938099005,2,-9.875460720873996
2020-03-12,0.12202967307024272,3,11.980820860563623
