,score,day,Movement
2019-11-06,0.04120341537246643,2,1.9704433497536922
2019-11-07,0.17697327256501785,3,-4.347826086956519
2019-11-10,-0.4727249529780565,6,-6.060606060606055
2019-11-11,-0.09554393078028367,0,4.3010752688172005
2019-11-12,0.16353938532755186,1,-2.0618556701030966
2019-11-13,-0.20578551744261445,2,-7.894736842105255
2019-11-14,-0.22822334149658724,3,2.857142857142869
2019-11-17,0.003824293886306757,6,0.0
2019-11-18,0.2102125925925926,0,1.6666666666666607
2019-11-19,0.06778038067349927,1,0.5464480874316946
2019-11-20,0.7642716030954159,2,7.608695652173902
2019-11-21,0.10343691547820136,3,-2.020202020202022
2019-11-24,0.03563168222604912,6,5.670103092783507
2019-11-25,-0.1908270122783083,0,11.219512195121961
2019-11-26,-0.0014608957964456673,1,7.8947368421052655
2019-11-28,0.024508280254777068,3,-7.72357723577236
2019-12-01,-0.0004718855447205708,6,7.488986784140961
2019-12-02,-0.020694143484626646,0,-1.6393442622950838
2019-12-03,0.0016362940926476835,1,0.8333333333333304
2019-12-04,0.018592650522219947,2,-6.198347107438018
2019-12-05,0.2802291006212623,3,-0.440528634361248
2019-12-08,0.0,6,-1.7699115044247593
2019-12-09,0.1766334705428351,0,2.2522522522522515
2019-12-10,0.16075033270321362,1,-0.440528634361248
2019-12-11,0.06824766187820082,2,0.4424778761062065
2019-12-12,-0.23909668358886704,3,5.286343612334798
2019-12-15,0.020275886983218302,6,3.765690376569042
2019-12-16,0.33572865986759703,0,4.435483870967727
2019-12-17,0.08250464300957258,1,1.5444015444015413
2019-12-18,-0.002930740226235364,2,-0.3802281368821214
2019-12-19,0.005917807253620402,3,2.6717557251908275
2019-12-23,0.056733148474918074,0,-5.243445692883897
2019-12-25,-0.11198785261945884,2,-0.7905138339920903
2019-12-26,-0.4898993671267554,3,-3.585657370517925
2019-12-29,0.013303208045140154,6,53.71900826446283
2019-12-30,0.16116790278074525,0,8.064516129032251
2020-01-01,0.14207395439739412,2,-7.462686567164168
2020-01-02,0.2362524589310354,3,2.9569892473118253
2020-01-05,0.6170379928315411,6,-3.9164490861618773
2020-01-06,0.15562045698831525,0,-11.956521739130432
2020-01-07,0.036922413248214415,1,4.629629629629628
2020-01-08,0.08621040513205804,2,2.0648967551622377
2020-01-09,-0.09524292982811552,3,1.4450867052023142
2020-01-12,0.1067402216433245,6,5.4131054131054235
2020-01-13,-0.002264919609939133,0,1.621621621621605
2020-01-14,0.3032211493026446,1,14.095744680851062
2020-01-15,0.11569317663460735,2,1.8648018648018683
2020-01-16,0.2954965628113396,3,6.864988558352403
2020-01-20,-0.14015090788641635,0,10.706638115631684
2020-01-21,0.1665377621173385,1,-7.350096711798837
2020-01-22,0.161260247817169,2,2.713987473903967
2020-01-23,0.12928807715572285,3,-5.284552845528456
2020-01-26,0.3634410423581477,6,-13.948497854077257
2020-01-27,0.5071846802502761,0,4.987531172069826
2020-01-28,-7.833227840296078e-05,1,1.425178147268391
2020-01-29,0.5304880987628212,2,-4.449648711943787
2020-01-30,0.3456764340538636,3,-7.352941176470596
2020-02-02,0.15552226569697494,6,7.407407407407396
2020-02-03,-0.0945309557372428,0,11.083743842364546
2020-02-04,0.1809049475861421,1,-2.6607538802660757
2020-02-05,0.025873739678760017,2,-7.061503416856485
2020-02-06,0.4227504949657928,3,-6.617647058823528
2020-02-09,0.07717911897738447,6,1.5748031496062964
2020-02-10,0.400191155232481,0,2.3255813953488413
2020-02-11,0.3990781310821132,1,2.77777777777779
2020-02-12,0.2377198912100239,2,-0.9828009828009798
2020-02-13,0.04846927405472785,3,-6.451612903225811
2020-02-17,-0.12623358276087668,0,0.7957559681697646
2020-02-18,-0.010334500881427415,1,7.36842105263158
2020-02-19,0.2493023301415463,2,4.411764705882337
2020-02-20,-0.08525961706038941,3,-4.225352112676051
2020-02-23,0.008516913275555302,6,-4.90196078431373
2020-02-24,0.4156925563929799,0,13.402061855670123
2020-02-25,0.03982302703266338,1,-1.363636363636378
2020-02-26,0.10300041422389264,2,-4.608294930875578
2020-02-27,-0.32448245549787097,3,-0.24154589371979673
2020-03-01,0.3034873042319227,6,-0.4842615012106477
2020-03-02,-0.2458231284733573,0,-1.2165450121654708
2020-03-03,0.010611107623036835,1,-4.679802955665013
2020-03-04,0.00018003680659013253,2,-3.875968992248058
2020-03-05,0.07413322316437229,3,-4.569892473118287
2020-03-08,0.4000299275379881,6,-7.323943661971821
2020-03-09,0.1354442707812344,0,6.382978723404253
2020-03-10,-0.13494988913525505,1,-5.1428571428571495
2020-03-11,0.2299987824763561,2,-5.722891566265053
2020-03-12,0.00016815370299414308,3,-0.6389776357827448
2020-03-16,-0.4201809653410353,0,-1.3605442176870763
2020-03-17,0.02114898755630881,1,-16.206896551724125
2020-03-18,-0.19420271247400853,2,-2.0576131687242927
2020-03-19,0.16375825440194292,3,0.8403361344537785
2020-03-22,0.07920358176555717,6,-1.2499999999999956
2020-03-23,-0.18260948646935168,0,9.704641350210963
2020-03-24,0.036660603334696285,1,6.153846153846132
2020-03-25,-0.005014033046311376,2,6.159420289855078
2020-03-26,0.5413049720250129,3,-3.071672354948818
2020-03-29,0.3130232876712329,6,-4.577464788732389
2020-03-30,-0.20092828016364486,0,2.58302583025829
2020-03-31,0.3030441780821917,1,-4.6762589928057485
2020-04-01,0.24434951183010264,2,-9.811320754716979
2020-04-02,0.7422309990806006,3,0.4184100418409997
2020-04-05,0.2656616154011615,6,2.9166666666666785
2020-04-06,0.6919447882510507,0,9.311740890688247
2020-04-07,0.2694544177153275,1,1.4814814814814836
