Date,Open,High,Low,Close,Adj Close,Volume
2019-11-06,2.460000,2.460000,1.960000,2.030000,2.030000,113933700
2019-11-07,2.110000,2.200000,2.050000,2.070000,2.070000,39411800
2019-11-08,2.130000,2.130000,1.940000,1.980000,1.980000,38341600
2019-11-11,1.900000,1.960000,1.780000,1.860000,1.860000,34228400
2019-11-12,1.900000,2.050000,1.830000,1.940000,1.940000,27818000
2019-11-13,1.900000,1.990000,1.850000,1.900000,1.900000,24969400
2019-11-14,1.860000,1.890000,1.660000,1.750000,1.750000,46683200
2019-11-15,1.750000,1.840000,1.660000,1.800000,1.800000,32003800
2019-11-18,1.880000,1.900000,1.730000,1.800000,1.800000,25996000
2019-11-19,1.780000,1.890000,1.780000,1.830000,1.830000,26780800
2019-11-20,1.850000,1.870000,1.770000,1.840000,1.840000,20728500
2019-11-21,1.870000,2.040000,1.820000,1.980000,1.980000,41394200
2019-11-22,2.040000,2.050000,1.880000,1.940000,1.940000,25152300
2019-11-25,1.990000,2.120000,1.960000,2.050000,2.050000,36836400
2019-11-26,2.120000,2.290000,2.120000,2.280000,2.280000,55122700
2019-11-27,2.320000,2.500000,2.280000,2.460000,2.460000,77368600
2019-11-29,2.360000,2.360000,2.200000,2.270000,2.270000,32640300
2019-12-02,2.350000,2.440000,2.300000,2.440000,2.440000,32677500
2019-12-03,2.310000,2.480000,2.250000,2.400000,2.400000,37865200
2019-12-04,2.420000,2.580000,2.410000,2.420000,2.420000,46792900
2019-12-05,2.530000,2.570000,2.250000,2.270000,2.270000,53235200
2019-12-06,2.320000,2.340000,2.200000,2.260000,2.260000,31931900
2019-12-09,2.210000,2.250000,2.110000,2.220000,2.220000,31542900
2019-12-10,2.200000,2.280000,2.140000,2.270000,2.270000,25220200
2019-12-11,2.260000,2.320000,2.230000,2.260000,2.260000,20342900
2019-12-12,2.300000,2.330000,2.260000,2.270000,2.270000,22457900
2019-12-13,2.310000,2.430000,2.290000,2.390000,2.390000,37228900
2019-12-16,2.440000,2.550000,2.390000,2.480000,2.480000,36916800
2019-12-17,2.540000,2.630000,2.500000,2.590000,2.590000,45654500
2019-12-18,2.580000,2.670000,2.540000,2.630000,2.630000,31811100
2019-12-19,2.690000,2.730000,2.610000,2.620000,2.620000,36301300
2019-12-20,2.650000,2.720000,2.630000,2.690000,2.690000,50971500
2019-12-23,2.740000,2.760000,2.650000,2.670000,2.670000,28571900
2019-12-24,2.630000,2.630000,2.450000,2.530000,2.530000,32029800
2019-12-26,2.450000,2.520000,2.350000,2.510000,2.510000,44173700
2019-12-27,2.540000,2.550000,2.410000,2.420000,2.420000,37553300
2019-12-30,2.920000,4.870000,2.880000,3.720000,3.720000,432720700
2019-12-31,4.150000,4.420000,3.820000,4.020000,4.020000,215008600
2020-01-02,4.100000,4.100000,3.610000,3.720000,3.720000,103740100
2020-01-03,3.500000,3.900000,3.480000,3.830000,3.830000,82892400
2020-01-06,4.190000,4.240000,3.660000,3.680000,3.680000,106619700
2020-01-07,3.700000,3.730000,3.210000,3.240000,3.240000,106336400
2020-01-08,3.140000,3.490000,3.130000,3.390000,3.390000,65118100
2020-01-09,3.440000,3.580000,3.330000,3.460000,3.460000,54644200
2020-01-10,3.490000,3.580000,3.400000,3.510000,3.510000,35626700
2020-01-13,3.710000,3.730000,3.520000,3.700000,3.700000,59752700
2020-01-14,3.700000,3.820000,3.610000,3.760000,3.760000,55194000
2020-01-15,4.190000,4.480000,4.000000,4.290000,4.290000,236357900
2020-01-16,3.990000,4.400000,3.910000,4.370000,4.370000,97941700
2020-01-17,4.510000,4.710000,4.460000,4.670000,4.670000,109601300
2020-01-21,4.600000,5.290000,4.520000,5.170000,5.170000,181423600
2020-01-22,5.420000,5.650000,4.690000,4.790000,4.790000,207132700
2020-01-23,4.570000,4.950000,4.310000,4.920000,4.920000,102535300
2020-01-24,5.000000,5.060000,4.510000,4.660000,4.660000,65538000
2020-01-27,3.990000,4.350000,3.840000,4.010000,4.010000,102028700
2020-01-28,4.250000,4.270000,4.030000,4.210000,4.210000,48979100
2020-01-29,4.230000,4.330000,4.020000,4.270000,4.270000,53844300
2020-01-30,4.240000,4.380000,4.010000,4.080000,4.080000,75009800
2020-01-31,4.020000,4.040000,3.670000,3.780000,3.780000,77923200
2020-02-03,3.540000,4.110000,3.520000,4.060000,4.060000,74051600
2020-02-04,4.290000,4.700000,4.160000,4.510000,4.510000,123640400
2020-02-05,4.370000,4.480000,4.130000,4.390000,4.390000,73632500
2020-02-06,4.200000,4.330000,4.050000,4.080000,4.080000,75641200
2020-02-07,4.020000,4.020000,3.740000,3.810000,3.810000,80780700
2020-02-10,3.670000,3.910000,3.620000,3.870000,3.870000,67157700
2020-02-11,3.830000,4.050000,3.800000,3.960000,3.960000,54097100
2020-02-12,4.000000,4.200000,3.980000,4.070000,4.070000,50975300
2020-02-13,3.950000,4.050000,3.860000,4.030000,4.030000,42411200
2020-02-14,4.020000,4.040000,3.750000,3.770000,3.770000,69655600
2020-02-18,3.900000,3.980000,3.760000,3.800000,3.800000,47700900
2020-02-19,3.930000,4.100000,3.860000,4.080000,4.080000,73256300
2020-02-20,4.100000,4.400000,4.010000,4.260000,4.260000,86873500
2020-02-21,4.200000,4.200000,4.020000,4.080000,4.080000,40425900
2020-02-24,3.790000,3.940000,3.760000,3.880000,3.880000,56247100
2020-02-25,5.180000,5.190000,4.240000,4.400000,4.400000,206259400
2020-02-26,4.500000,4.710000,4.300000,4.340000,4.340000,69558500
2020-02-27,4.090000,4.300000,3.920000,4.140000,4.140000,77846700
2020-02-28,3.960000,4.140000,3.870000,4.130000,4.130000,63782000
2020-03-02,4.150000,4.190000,3.900000,4.110000,4.110000,56063200
2020-03-03,4.080000,4.210000,3.950000,4.060000,4.060000,47644500
2020-03-04,4.030000,4.070000,3.770000,3.870000,3.870000,49465800
2020-03-05,3.780000,3.890000,3.680000,3.720000,3.720000,72697800
2020-03-06,3.620000,3.660000,3.420000,3.550000,3.550000,61238100
2020-03-09,3.010000,3.540000,2.990000,3.290000,3.290000,55305300
2020-03-10,3.490000,3.540000,3.290000,3.500000,3.500000,34928400
2020-03-11,3.400000,3.530000,3.260000,3.320000,3.320000,31099400
2020-03-12,3.060000,3.230000,2.980000,3.130000,3.130000,52438300
2020-03-13,3.280000,3.330000,2.990000,3.110000,3.110000,41770400
2020-03-16,2.870000,3.110000,2.750000,2.940000,2.940000,41266200
2020-03-17,2.970000,3.120000,2.790000,2.900000,2.900000,34862200
2020-03-18,2.400000,2.580000,2.110000,2.430000,2.430000,94431900
2020-03-19,2.300000,2.550000,2.230000,2.380000,2.380000,35499000
2020-03-20,2.490000,2.640000,2.350000,2.400000,2.400000,50528400
2020-03-23,2.340000,2.370000,2.150000,2.370000,2.370000,47435200
2020-03-24,2.550000,2.750000,2.400000,2.600000,2.600000,64750100
2020-03-25,2.720000,2.990000,2.600000,2.760000,2.760000,56588300
2020-03-26,2.810000,3.070000,2.780000,2.930000,2.930000,43579400
2020-03-27,2.850000,2.890000,2.760000,2.840000,2.840000,25132000
2020-03-30,2.810000,2.830000,2.700000,2.710000,2.710000,20115300
2020-03-31,2.830000,2.880000,2.680000,2.780000,2.780000,30261400
2020-04-01,2.630000,2.760000,2.600000,2.650000,2.650000,17153800
2020-04-02,2.510000,2.590000,2.220000,2.390000,2.390000,58942700
2020-04-03,2.450000,2.490000,2.330000,2.400000,2.400000,19519500
2020-04-06,2.480000,2.550000,2.400000,2.470000,2.470000,34866700
2020-04-07,2.810000,2.810000,2.650000,2.700000,2.700000,46149600
2020-04-08,2.760000,2.800000,2.710000,2.740000,2.740000,18312900
2020-04-09,2.820000,2.820000,2.630000,2.670000,2.670000,32810000
2020-04-13,2.670000,2.970000,2.630000,2.970000,2.970000,38421700
2020-04-14,3.150000,3.160000,2.920000,3.010000,3.010000,36479000
2020-04-15,2.950000,3.200000,2.880000,3.200000,3.200000,27529800
2020-04-16,3.300000,3.410000,3.200000,3.250000,3.250000,37801700
2020-04-17,3.360000,3.360000,3.150000,3.210000,3.210000,22831800
2020-04-20,3.180000,3.350000,3.050000,3.190000,3.190000,18691700
2020-04-21,3.100000,3.220000,3.010000,3.020000,3.020000,19789700
2020-04-22,3.090000,3.150000,3.050000,3.090000,3.090000,14539900
2020-04-23,3.200000,3.200000,3.050000,3.060000,3.060000,17434200
2020-04-24,3.080000,3.100000,2.910000,2.940000,2.940000,22126200
2020-04-27,3.000000,3.260000,2.950000,3.240000,3.240000,35641100
2020-04-28,3.400000,3.450000,3.200000,3.340000,3.340000,36326800
2020-04-29,3.830000,3.980000,3.590000,3.610000,3.610000,89238800
2020-04-30,3.630000,3.720000,3.370000,3.410000,3.410000,44540400
2020-05-01,3.300000,3.330000,3.120000,3.180000,3.180000,31268900
2020-05-04,3.080000,3.360000,3.080000,3.340000,3.340000,23387500
2020-05-05,3.440000,3.480000,3.280000,3.280000,3.280000,22315800
2020-05-06,3.590000,3.650000,3.450000,3.620000,3.620000,54222400
2020-05-07,3.630000,3.670000,3.520000,3.630000,3.630000,26736700
2020-05-08,3.680000,3.800000,3.600000,3.770000,3.770000,27861700
2020-05-11,3.720000,3.770000,3.660000,3.740000,3.740000,16541000
2020-05-12,3.740000,3.780000,3.610000,3.620000,3.620000,21943800
2020-05-13,3.640000,3.680000,3.320000,3.440000,3.440000,34034700
2020-05-14,3.330000,3.520000,3.270000,3.450000,3.450000,20936400
2020-05-15,3.370000,3.450000,3.360000,3.370000,3.370000,13699000
